departure,arrival,date,prices,lowest_price
GVA,AYQ,Wed Aug 06 2025,[],
GVA,BNE,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,489.70'}, {'price': 'CHF', 'currency': '1,961.80'}, {'price': 'CHF', 'currency': '1,450.75'}, {'price': 'CHF', 'currency': '1,961.80'}, {'price': 'CHF', 'currency': '989.85'}, {'price': 'CHF', 'currency': '1,961.80'}, {'price': 'CHF', 'currency': '1,450.75'}, {'price': 'CHF', 'currency': '2,298.50'}, {'price': 'CHF', 'currency': '1,788.80'}, {'price': 'CHF', 'currency': '1,961.80'}, {'price': 'CHF', 'currency': '989.85'}, {'price': 'CHF', 'currency': '1,450.75'}, {'price': 'CHF', 'currency': '989.85'}, {'price': 'CHF', 'currency': '1,338.55'}, {'price': 'CHF', 'currency': '1,450.75'}, {'price': 'CHF', 'currency': '989.85'}, {'price': 'CHF', 'currency': '989.85'}, {'price': 'CHF', 'currency': '1,504.80'}, {'price': 'CHF', 'currency': '1,504.80'}, {'price': 'CHF', 'currency': '1,504.80'}]",
GVA,CNS,Wed Aug 06 2025,[],
GVA,CBR,Wed Aug 06 2025,[],
GVA,DRW,Wed Aug 06 2025,[],
GVA,OOL,Wed Aug 06 2025,[],
GVA,HTI,Wed Aug 06 2025,[],
GVA,LST,Wed Aug 06 2025,[],
GVA,MKY,Wed Aug 06 2025,[],
GVA,MEL,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,731.55'}, {'price': 'CHF', 'currency': '1,898.95'}, {'price': 'CHF', 'currency': '2,092.95'}, {'price': 'CHF', 'currency': '2,077.00'}, {'price': 'CHF', 'currency': '1,862.55'}, {'price': 'CHF', 'currency': '1,957.95'}, {'price': 'CHF', 'currency': '1,898.95'}, {'price': 'CHF', 'currency': '1,756.75'}, {'price': 'CHF', 'currency': '2,092.95'}, {'price': 'CHF', 'currency': '2,077.00'}, {'price': 'CHF', 'currency': '1,862.55'}, {'price': 'CHF', 'currency': '1,898.95'}, {'price': 'CHF', 'currency': '2,092.95'}, {'price': 'CHF', 'currency': '1,957.95'}, {'price': 'CHF', 'currency': '2,077.00'}, {'price': 'CHF', 'currency': '1,862.55'}, {'price': 'CHF', 'currency': '1,957.95'}, {'price': 'CHF', 'currency': '1,725.95'}, {'price': 'CHF', 'currency': '1,898.95'}, {'price': 'CHF', 'currency': '1,756.75'}, {'price': 'CHF', 'currency': '2,092.95'}, {'price': 'CHF', 'currency': '2,092.95'}, {'price': 'CHF', 'currency': '2,077.00'}, {'price': 'CHF', 'currency': '2,077.00'}, {'price': 'CHF', 'currency': '1,750.35'}, {'price': 'CHF', 'currency': '1,862.55'}, {'price': 'CHF', 'currency': '1,756.75'}, {'price': 'CHF', 'currency': '1,784.95'}, {'price': 'CHF', 'currency': '1,957.95'}, {'price': 'CHF', 'currency': '1,756.75'}, {'price': 'CHF', 'currency': '1,526.55'}, {'price': 'CHF', 'currency': '1,881.35'}, {'price': 'CHF', 'currency': '1,881.35'}]",
GVA,AVV,Wed Aug 06 2025,[],
GVA,NTL,Wed Aug 06 2025,[],
