departure,arrival,arrival_country,arrival_continent,date,prices,lowest_price_today,week_prices,lowest_price_week
IST,BDO,Indonesia,Asia,Thu Sep 04 2025,[],,[],
IST,BDJ,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""37194.57"", ""currency"": ""TRY""}, {""price"": ""37194.57"", ""currency"": ""TRY""}]",37194.57,"[{""date"": ""01 September (Monday)"", ""price"": ""37195"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""37195"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""34056"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""37195"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""37195"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""41138"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""37195"", ""currency"": ""TRY""}]",34056.0
IST,BTH,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""39608.57"", ""currency"": ""TRY""}, {""price"": ""39608.57"", ""currency"": ""TRY""}]",39608.57,"[{""date"": ""01 September (Monday)"", ""price"": ""37798"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""37798"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36470"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""28826"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""39609"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""43552"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""37798"", ""currency"": ""TRY""}]",28826.0
IST,BTW,Indonesia,Asia,Thu Sep 04 2025,[],,[],
IST,BKS,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""48581.57"", ""currency"": ""TRY""}]",48581.57,"[{""date"": ""01 September (Monday)"", ""price"": ""43834"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""45041"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""45443"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""48582"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""45041"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""47777"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""45041"", ""currency"": ""TRY""}]",43834.0
IST,DPS,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""44651.69"", ""currency"": ""TRY""}]",44651.69,"[{""date"": ""01 September (Monday)"", ""price"": ""40488"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""32862"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""28573"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""36465"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""28975"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""36867"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""36465"", ""currency"": ""TRY""}]",28573.0
IST,CGK,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""23970.37"", ""currency"": ""TRY""}]",23970.37,"[{""date"": ""01 September (Monday)"", ""price"": ""23970"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""23970"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""21475"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""23970"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""24372"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""27309"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""26907"", ""currency"": ""TRY""}]",21475.0
IST,DJB,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""39648.57"", ""currency"": ""TRY""}, {""price"": ""39648.57"", ""currency"": ""TRY""}]",39648.57,"[{""date"": ""01 September (Monday)"", ""price"": ""39649"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""39649"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36511"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""39649"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""39649"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""41983"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""39649"", ""currency"": ""TRY""}]",36511.0
IST,DJJ,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""45482.57"", ""currency"": ""TRY""}, {""price"": ""45482.57"", ""currency"": ""TRY""}]",45482.57,"[{""date"": ""01 September (Monday)"", ""price"": ""45483"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""45483"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""42345"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""45483"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""48702"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""51036"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""47093"", ""currency"": ""TRY""}]",42345.0
IST,BPN,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""40010.57"", ""currency"": ""TRY""}, {""price"": ""40010.57"", ""currency"": ""TRY""}, {""price"": ""40010.57"", ""currency"": ""TRY""}]",40010.57,"[{""date"": ""01 September (Monday)"", ""price"": ""38603"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""38603"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36873"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""40011"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""40011"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""43954"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""38603"", ""currency"": ""TRY""}]",36873.0
IST,LBJ,Indonesia,Asia,Thu Sep 04 2025,[],,[],
IST,LOP,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""40091.57"", ""currency"": ""TRY""}, {""price"": ""40091.57"", ""currency"": ""TRY""}]",40091.57,"[{""date"": ""01 September (Monday)"", ""price"": ""37798"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""37798"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36953"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""40092"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""37798"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""41741"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""37798"", ""currency"": ""TRY""}]",36953.0
IST,KJT,Indonesia,Asia,Thu Sep 04 2025,[],,[],
IST,MLG,Indonesia,Asia,Thu Sep 04 2025,[],,[],
IST,MDC,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""43229.57"", ""currency"": ""TRY""}, {""price"": ""43229.57"", ""currency"": ""TRY""}]",43229.57,"[{""date"": ""01 September (Monday)"", ""price"": ""40494"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""40011"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36873"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""43230"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""40011"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""44437"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""40494"", ""currency"": ""TRY""}]",36873.0
IST,MES,Indonesia,Asia,Thu Sep 04 2025,[],,[],
IST,PDG,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""113160.15"", ""currency"": ""TRY""}, {""price"": ""40332.57"", ""currency"": ""TRY""}]",40332.57,"[{""date"": ""01 September (Monday)"", ""price"": ""38724"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""38724"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""37195"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""40333"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""38724"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""42667"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""38724"", ""currency"": ""TRY""}]",37195.0
IST,PKY,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""39608.57"", ""currency"": ""TRY""}]",39608.57,"[{""date"": ""01 September (Monday)"", ""price"": ""37597"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""37597"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""35867"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""39609"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""39005"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""42948"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""37597"", ""currency"": ""TRY""}]",35867.0
IST,PLM,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""36993.57"", ""currency"": ""TRY""}, {""price"": ""36993.57"", ""currency"": ""TRY""}, {""price"": ""36993.57"", ""currency"": ""TRY""}, {""price"": ""36993.57"", ""currency"": ""TRY""}]",36993.57,"[{""date"": ""01 September (Monday)"", ""price"": ""36994"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""36994"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""33855"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""36994"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""36994"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""40937"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""36994"", ""currency"": ""TRY""}]",33855.0
IST,PLW,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""42223.57"", ""currency"": ""TRY""}, {""price"": ""41419.57"", ""currency"": ""TRY""}]",41419.57,"[{""date"": ""01 September (Monday)"", ""price"": ""39207"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""39207"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36068"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""41420"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""39207"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""43150"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""39207"", ""currency"": ""TRY""}]",36068.0
IST,PGK,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""39206.57"", ""currency"": ""TRY""}]",39206.57,"[{""date"": ""01 September (Monday)"", ""price"": ""39207"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""39207"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36068"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""39207"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""39207"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""43150"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""39207"", ""currency"": ""TRY""}]",36068.0
IST,PNK,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""40010.57"", ""currency"": ""TRY""}, {""price"": ""40010.57"", ""currency"": ""TRY""}]",40010.57,"[{""date"": ""01 September (Monday)"", ""price"": ""38402"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""38402"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""36873"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""40011"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""40011"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""43954"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""38402"", ""currency"": ""TRY""}]",36873.0
IST,TTE,Indonesia,Asia,Thu Sep 04 2025,"[{""price"": ""45040.57"", ""currency"": ""TRY""}]",45040.57,"[{""date"": ""01 September (Monday)"", ""price"": ""43633"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""43633"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""40494"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""45041"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""43633"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""47576"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""43633"", ""currency"": ""TRY""}]",40494.0
