country,airport,airport_code
Russia,Anapa Anapa Airport(AAQ),AAQ
Russia,Arhangelsk Talagi Airport(ARH),ARH
Russia,Belgorod Belgorod International Airport(EGO),EGO
Russia,Cheboksary Cheboksary International Airport(CSY),CSY
Russia,Chelyabinsk Chelyabinsk Balandino Airport(CEK),CEK
Russia,Chicago Chicago Midway International Airport(MDW),MDW
Russia,Irkutsk Irkutsk Airport(IKT),IKT
Russia,Kaliningrad Khrabrovo Airport(KGD),KGD
Russia,Kazan Kazan International Airport(KZN),KZN
Russia,Khanty-Mansiysk Khanty-Mansiysk Airport(HMA),HMA
Russia,Krasnodar Pashkovsky Airport(KRR),KRR
Russia,Krasnoyarsk Yemelyanovo International Airport(KJA),KJA
Russia,Kurgan Kurgan Airport(KRO),KRO
Russia,Magnitogorsk Magnitogorsk International Airport(MQF),MQF
Russia,Makhachkala Makhachkale Uytash Airport(MCX),MCX
Russia,Mineralnye Vody Mineralnye Vody Airport(MRV),MRV
Russia,Moscow Moscow (All) (2 Airports),DME
Russia,Moscow Domodedovo International Airport(DME),DME
Russia,Moscow Vnukovo International Airport(VKO),VKO
Russia,Murmansk Murmansk Airport(MMK),MMK
Russia,Naberezhnye Chelny Begishevo Airport(NBC),NBC
Russia,Nijnevartovsk Nizhnevartovsk Airport(NJC),NJC
Russia,Nizhny Novgorod Strigino International Airport(GOJ),GOJ
Russia,Omsk Tsentralny Airport(OMS),OMS
Russia,Perm Perm Bolshoye Savino Airport(PEE),PEE
Russia,Rostov-on-Don Rostov-on-Don International Airport(ROV),ROV
Russia,Samara Samara Airport(KUF),KUF
Russia,Sochi Adler-Sochi International Airport(AER),AER
Russia,St Petersburg St Petersburg Pulkovo Airport(LED),LED
Russia,Surgut Surgut International Airport(SGC),SGC
Russia,Syktyvkar Syktyvkar Airport(SCW),SCW
Russia,Tomsk Tomsk Bogashevo Airport(TOF),TOF
Russia,Tyumen Roshchino International Airport(TJM),TJM
Russia,Ufa Ufa International Airport(UFA),UFA
Russia,Ulyanovsk Vostochny Airport(ULY),ULY
Russia,Usinsk Usinsk Airport(USK),USK
Russia,Vladikavkaz Beslan Airport(OGZ),OGZ
Russia,Volgograd Volgograd International Airport(VOG),VOG
Russia,Voronezh Chertovitskoye Airport(VOZ),VOZ
Russia,Yekaterinburg Yekaterinburg Koltsovo Airport(SVX),SVX
Russia,Yoshkar-Ola Yoshkar Ola Airport(JOK),JOK
Rwanda,Kamembe Kamembe International Airport(KME),KME
Rwanda,Kigali Kigali Airport(KGL),KGL
"Saint Helena, Ascension and Tristan da Cunha",Ascension/Tristan da Cunha Ascension/Tristan da Cunha (All) (2 Airports),HLE
"Saint Helena, Ascension and Tristan da Cunha",Ascension/Tristan da Cunha Saint Helena Airport(HLE),HLE
"Saint Helena, Ascension and Tristan da Cunha",Jamestown Jamestown Regional Airport(JMS),JMS
Saint Kitts and Nevis,St Kitts St Kitts Airport(SKB),SKB
Saint Lucia,St. Lucia Hewanorra International Airport(UVF),UVF
Saint Martin,St Martin L'Espérance Airport(SFG),SFG
Saint Vincent and the Grenadines,Port Vila Port Vila Airport(VLI),VLI
Saint Vincent and the Grenadines,St Vincent Argyle International Airport(SVD),SVD
Samoa,Apia Apia Faleolo Airport(APW),APW
Sao Tome and Principe,Sao Tome Island Sao Tome Airport(TMS),TMS
Saudi Arabia,Abha Abha Airport(AHB),AHB
Saudi Arabia,Al Baha Al-Aqiq Airport(ABT),ABT
Saudi Arabia,Al Qassim Prince Nayef Bin Abdulaziz Airport(ELQ),ELQ
Saudi Arabia,AlUla ALULA INTERNATIONAL Airport(ULH),ULH
Saudi Arabia,Arar Arar Airport(RAE),RAE
Saudi Arabia,Bisha Bisha Airport(BHH),BHH
Saudi Arabia,Dammam King Fahd International Airport(DMM),DMM
Saudi Arabia,Dawadmi Dawadmi Domestic Airport(DWD),DWD
Saudi Arabia,Hail Hail Airport(HAS),HAS
Saudi Arabia,Jeddah King Abdulaziz International Airport(JED),JED
Saudi Arabia,Jizan Jizan Regional Airport(GIZ),GIZ
Saudi Arabia,Medina Medina Prince Mohammed Bin Abdulaziz International Airport(MED),MED
Saudi Arabia,Qaisumah Hafar al Batin Faleolo Airport(AQI),AQI
Saudi Arabia,Rafha Rafha Airport(RAH),RAH
Saudi Arabia,Riyadh King Khalid International Airport(RUH),RUH
Saudi Arabia,Sharurah Sharurah Airport(SHW),SHW
Saudi Arabia,Tabuk Tabuk Regional Airport(TUU),TUU
Saudi Arabia,Taif Taif Airport(TIF),TIF
Saudi Arabia,Turaif Turaif Airport(TUI),TUI
Saudi Arabia,Wadi al Dawaser Wadi al Dawaser Airport(WAE),WAE
Saudi Arabia,Yanbu Yanbu Airport(YNB),YNB
Senegal,Dakar-Thies Blaise Diagne International Airport(DSS),DSS
Serbia,Belgrade Belgrade Nikola Tesla Airport(BEG),BEG
Serbia,Kraljevo Morava Airport(KVO),KVO
Serbia,Nis Nis Airport(INI),INI
Seychelles,Praslin Island Praslin Island Airport(PRI),PRI
Seychelles,Victoria-Mahe Island Seychelles International Airport(SEZ),SEZ
Sierra Leone,Freetown Lungi International Airport(FNA),FNA
Singapore,Singapore Singapore Changi Airport(SIN),SIN
Sint Maarten,St Martin Princess Juliana International Airport(SXM),SXM
Slovakia,Bratislava M.R. Stefanik Airport(BTS),BTS
Slovenia,Ljubljana Ljubljana Joze Pucnik Airport(LJU),LJU
Solomon Islands,Honiara Honiara International Airport(HIR),HIR
Somalia,Mogadishu Aden Abdulle International Airport(MGQ),MGQ
South Africa,Bloemfontain Bloemfontein Airport(BFN),BFN
South Africa,Cape Town Cape Town International Airport(CPT),CPT
South Africa,Durban King Shaka International Airport(DUR),DUR
South Africa,East London East London Airport(ELS),ELS
South Africa,George George Airport(GRJ),GRJ
South Africa,Hoedspruit Hoedspruit Eastgate Airport (HDS),HDS
South Africa,Johannesburg Johannesburg Airport(JNB),JNB
South Africa,Kimberley Kimberley Airport(KIM),KIM
South Africa,Mala Mala Mala Mala Airport(AAM),AAM
South Africa,Margate Margate Airport(MGH),MGH
South Africa,Mpumalanga Nelspruit Airport(MQP),MQP
South Africa,Mthatha Mthatha Airport(UTT),UTT
South Africa,Phalaborwa Hendrik van Eck Airport(PHW),PHW
South Africa,Pietermaritzburg Pietermaritzburg Airport(PZB),PZB
South Africa,Plettenberg Bay Plettenberg Bay Airport(PBZ),PBZ
South Africa,Polokwane Polokwane International Airport(PTG),PTG
South Africa,Port Elizabeth Port Elizabeth Airport(PLZ),PLZ
South Africa,Richards Bay Richards Bay Airport(RCB),RCB
South Africa,Sishen Sishen Airport(SIS),SIS
South Africa,Skukuza Skukuza Airport(SZK),SZK
South Africa,Springbok Springbok Airport(SBU),SBU
South Africa,Upington Upington Airport(UTN),UTN
South Korea,Busan Gimhae International Airport(PUS),PUS
South Korea,Jeju Jeju International Airport(CJU),CJU
South Korea,Seoul Seoul (All) (2 Airports),GMP
South Korea,Seoul Seoul Gimpo International Airport(GMP),GMP
South Korea,Seoul Incheon International Airport(ICN),ICN
South Sudan,Juba Juba International Airport(JUB),JUB
Spain,A Coruna A Coruña Airport(LCG),LCG
Spain,Albacete Albacete Railway Station(EEM),EEM
Spain,Alicante Alicante (All) (2 Airports),ALC
Spain,Alicante Alicante Airport(ALC),ALC
Spain,Alicante Alicante Airport Railway Station(YJE),YJE
Spain,Almeria Almeria (All) (2 Airports),LEI
Spain,Almeria Almeria Airport(LEI),LEI
Spain,Almeria Almeria Railway Station(AMR),AMR
Spain,Balearic Islands Ibiza Airport(IBZ),IBZ
Spain,Balearic Islands Palma de Mallorca Airport(PMI),PMI
Spain,Barcelona Barcelona (All) (2 Airports),BCN
Spain,Barcelona Barcelona El Prat Airport(BCN),BCN
Spain,Barcelona Barcelona Airport Railway Station(YJB),YJB
Spain,Bilbao Bilbao (All) (2 Airports),BIO
Spain,Bilbao Bilbao Airport(BIO),BIO
Spain,Bilbao Bilbao Railway Station(YJI),YJI
Spain,Burgos Burgos Railway Station(UGR),UGR
Spain,Cádiz Cádiz Railway Station(CDZ),CDZ
Spain,Castellon Castellon Railway Station(CPJ),CPJ
Spain,Chernihiv Shestovitsa Chernihiv Shestovitsa Airport(CEJ),CEJ
Spain,Ciudad Real Ciudad Real Train Station(XJI),XJI
Spain,Cordoba Cordoba Central Railway Station(XOJ),XOJ
Spain,Fuerteventura Fuerteventura Airport(FUE),FUE
Spain,Girona Girona Costa Brava Airport Railway Station(GIA),GIA
Spain,Granada Granada (All) (2 Airports),GRX
Spain,Granada Granada Airport(GRX),GRX
Spain,Granada Granada Railway Station(YJG),YJG
Spain,Gran Canaria Gran Canaria Airport(LPA),LPA
Spain,Hondarribia San Sebastian Airport(EAS),EAS
Spain,Huelva Huelva Railway Station(HEV),HEV
Spain,Jerez De La Frontera Jerez De La Frontera (All) (2 Airports),XRY
Spain,Jerez De La Frontera Jerez Airport(XRY),XRY
Spain,Jerez De La Frontera Jerez De La Frontera Railway Station(YJW),YJW
Spain,Lanzarote Lanzarote Airport(ACE),ACE
Spain,Leon Leon Railway Station(EEU),EEU
Spain,Lleida Lleida Pirineus Railway Station(QLQ),QLQ
Spain,Madrid Madrid (All) (3 Airports),MAD
Spain,Madrid Madrid Barajas International Airport(MAD),MAD
Spain,Madrid Madrid Atocha Railway Station(XOC),XOC
Spain,Madrid Madrid Chamartin Railway Station(XTI),XTI
Spain,Malaga Malaga (All) (2 Airports),AGP
Spain,Malaga Malaga Costa Del Sol Airport(AGP),AGP
Spain,Malaga Malaga Maria Zambrano Railway Station(YJM),YJM
Spain,Menorca Menorca Airport(MAH),MAH
Spain,Murcia Murcia Del Carmen Railway Station(XUT),XUT
Spain,Oviedo Oviedo Railway Station(OVI),OVI
Spain,Palencia Palencia Railway Station(PCI),PCI
Spain,Pamplona Pamplona Railway Station(EEP),EEP
Spain,Ranón Ranón (All) (2 Airports),OVD
Spain,Ranón Asturias Airport(OVD),OVD
Spain,Santa Cruz de La Palma La Palma Airport(SPC),SPC
Spain,Santander Seve Ballesteros-Santander Airport(SDR),SDR
Spain,Santiago de Compostela Santiago De Compostela Airport(SCQ),SCQ
Spain,Sevilla Sevilla Airport(SVQ),SVQ
Spain,Tenerife Tenerife (All) (2 Airports),TFN
Spain,Tenerife Tenerife North Airport(TFN),TFN
Spain,Tenerife Tenerife Sur Airport(TFS),TFS
Spain,Valencia Valencia (All) (2 Airports),VLC
Spain,Valencia Valencia Airport(VLC),VLC
Spain,Valencia Valencia Airport Railway Station(YJV),YJV
Spain,Valladolid Valladolid Airport(VLL),VLL
Spain,Vigo Vigo Airport(VGO),VGO
Spain,Vitoria-Gasteiz Vitoria-Gasteiz Railway Station(VIO),VIO
Spain,Zaragoza Zaragoza (All) (2 Airports),ZAZ
Spain,Zaragoza Zaragoza Airport(ZAZ),ZAZ
Spain,Zaragoza Zaragoza-Delicias Railway Station(XZZ),XZZ
Sri Lanka,Colombo Bandaranaike International Airport(CMB),CMB
Sudan,Khartoum Khartoum Airport(KRT),KRT
Sudan,Port Sudan Port Sudan International Airport(PZU),PZU
Suriname,Paramaribo Johan A. Pengel International Airport(PBM),PBM
Swaziland,Manzini King Mswati III International Airport(SHO),SHO
Swaziland,Nukus Nukus Airport(NCU),NCU
Sweden,Ängelholm Ängelholm/Helsingborg Airport(AGH),AGH
Sweden,Borlänge Borlänge Central Railway Station(XYB),XYB
Sweden,Falun Falun Central Railway Station(XWF),XWF
Sweden,Gavle Gavle (All) (2 Airports),GVX
Sweden,Gavle Gavle–Sandviken Airport(GVX),GVX
Sweden,Gavle Gavle Railway Station(QYU),QYU
Sweden,Gothenburg Gothenburg Landvetter Airport(GOT),GOT
Sweden,Hedemora Hedemora Railway Station(XXU),XXU
Sweden,Hudiksvall Hudiksvall Central Railway Station(HUV),HUV
Sweden,Kalmar Kalmar Airport(KLR),KLR
Sweden,Kiruna Kiruna Airport(KRN),KRN
Sweden,Leksand Leksand Railway Station(XXO),XXO
Sweden,Linkoping Linkoping City Airport(LPI),LPI
Sweden,Lulea Lulea Kallax Airport(LLA),LLA
Sweden,Malmo Malmo Airport(MMX),MMX
Sweden,Mora Mora Railway Station(MXX),MXX
Sweden,Norrköping Norrköping Central Railway Station(XYK),XYK
Sweden,Örebro Örebro Central Railway Station(XWR),XWR
Sweden,Ostersund Are Ostersund Airport(OSD),OSD
Sweden,Ronneby Ronneby Kallinge Airport(RNB),RNB
Sweden,Sala Sala Railway Station(XYX),XYX
Sweden,Skelleftea Skelleftea Airport(SFT),SFT
Sweden,Söderhamn Söderhamn Railway Station(SOO),SOO
Sweden,Stockholm Stockholm Arlanda Airport(ARN),ARN
Sweden,Sundsvall Sundsvall (All) (2 Airports),SDL
Sweden,Sundsvall Sundsvall-Harnösand Airport(SDL),SDL
Sweden,Sundsvall Sundsvall Railway Station(XXZ),XXZ
Sweden,Umea Umea Airport(UME),UME
Sweden,Visby Visby Airport(VBY),VBY
Switzerland,Basel Basel (All) (2 Airports),BSL
Switzerland,Basel Basel Mulhouse Freiburg Airport(BSL),BSL
Switzerland,Basel Basel SBB Railway Station(ZDH),ZDH
Switzerland,Bern Venezia Mestre Railway Station(ZDJ),ZDJ
Switzerland,Chur Chur Train Station(ZDT),ZDT
Switzerland,Geneva Geneva Cointrin Airport(GVA),GVA
Switzerland,Zihuatanejo Grenchen Airport(ZHI),ZHI
Switzerland,Zurich Zurich (All) (2 Airports),ZRH
Switzerland,Zurich Zurich Kloten Airport(ZRH),ZRH
Switzerland,Zurich Zurich Railway Station(ZLP),ZLP
Syria,Aleppo Aleppo Airport(ALP),ALP
Syria,Damascus Damascus International Airport(DAM),DAM
Taiwan - China,Kaohsiung Kaohsiung Airport(KHH),KHH
Taiwan - China,Linhares Linhares Municipal Airport(LHN),LHN
Taiwan - China,Sorriso Sorriso Airport(SMT),SMT
Taiwan - China,Taichung Taichung Airport(RMQ),RMQ
Taiwan - China,Taipei Taoyuan International Airport(TPE),TPE
Tajikistan,Dushanbe Dushanbe Airport(DYU),DYU
Tanzania,Arusha Arusha Airport(ARK),ARK
Tanzania,Bukoba Bukoba Airport(BKZ),BKZ
Tanzania,Dar es Salaam Julius Nyerere International Airport(DAR),DAR
Tanzania,Dodoma Dodoma Airport(DOD),DOD
Tanzania,Kilimanjaro Kilimanjaro International Airport(JRO),JRO
Tanzania,Mbeya Mbeya Airport(MBI),MBI
Tanzania,Zanzibar Abeid Amani Karume International Airport(ZNZ),ZNZ
Thailand,Bangkok Suvarnabhumi International Airport(BKK),BKK
Thailand,Chiang Mai Chiang Mai International Airport(CNX),CNX
Thailand,Chiang Rai Mae Fah Luang International Airport(CEI),CEI
Thailand,Hat Yai Hat Yai International Airport(HDY),HDY
Thailand,Khon Kaen Khon Kaen Airport(KKC),KKC
Thailand,Ko Samui Ko Samui Airport(USM),USM
Thailand,Krabi Krabi Airport(KBV),KBV
Thailand,Lampang Lampang Airport(LPT),LPT
Thailand,Mae Hong Son Mae Hong Son Airport(HGN),HGN
Thailand,Phuket Phuket International Airport(HKT),HKT
Thailand,Sukhothai Sukhothai Airport(THS),THS
Thailand,Trat Trat Airport(TDX),TDX
Thailand,Ubon Ratchathani Ubon Ratchathani Airport(UBP),UBP
Thailand,Utapao U-Tapao Airport(UTP),UTP
Togo,Lome Lome-Tokoin Airport(LFW),LFW
Tonga,Nuku'Alofa Nuku'Alofa Airport(TBU),TBU
Trinidad and Tobago,Port of Spain Piarco International Airport(POS),POS
Tunisia,Djerba Djerba Airport(DJE),DJE
Tunisia,Tunis Tunis (All) (2 Airports),TUN
Tunisia,Tunis Tunis Carthage Airport(TUN),TUN
Turkish Republic of Northern Cyprus,Lefkosa Ercan International Airport(ECN),ECN
Turkish Republic of Northern Cyprus,Paphos Paphos Airport(PFO),PFO
Türkiye,Adiyaman Adiyaman Airport(ADF),ADF
Türkiye,Agrı Agri Airport(AJI),AJI
Türkiye,Amasya Amasya Merzifon Airport(MZH),MZH
Türkiye,Ankara Ankara Esenboga Airport(ESB),ESB
Türkiye,Antalya Antalya Airport(AYT),AYT
Türkiye,Antalya Gazipasa Alanya Airport(GZP),GZP
Türkiye,Balikesir - Edremit Koca Seyit Airport(EDO),EDO
Türkiye,Batman Batman Airport(BAL),BAL
Türkiye,Bingol Bingol Airport(BGG),BGG
Türkiye,Bursa Bursa Yenisehir Airport(YEI),YEI
Türkiye,Canakkale Canakkale Airport(CKZ),CKZ
Türkiye,Çukurova Cukurova International Airport(COV),COV
Türkiye,Denizli Denizli Cardak Airport(DNZ),DNZ
Türkiye,Diyarbakir Diyarbakir Airport(DIY),DIY
Türkiye,Elazig Elazig Airport(EZS),EZS
Türkiye,Erzincan Erzincan Yıldırım Akbulut Airport(ERC),ERC
Türkiye,Erzurum Erzurum Airport(ERZ),ERZ
Türkiye,Eskisehir Hasan Polatkan Airport(AOE),AOE
Türkiye,Gaziantep Gaziantep Airport(GZT),GZT
Türkiye,Hakkari Yüksekova Airport(YKO),YKO
Türkiye,Hatay Hatay Airport(HTY),HTY
Türkiye,Igdir Igdir Sehit Bulent Aydin Airport(IGD),IGD
Türkiye,Isparta Isparta Suleyman Demirel Airport(ISE),ISE
Türkiye,Istanbul Istanbul (All) (2 Airports),IST
Türkiye,Istanbul Istanbul Airport(IST),IST
Türkiye,Istanbul Sabiha Gokcen Airport(SAW),SAW
Türkiye,Izmir Izmir Adnan Menderes Airport(ADB),ADB
Türkiye,Kahramanmaras Kahramanmaras Airport(KCM),KCM
Türkiye,Kars Kars Harakani Airport(KSY),KSY
Türkiye,Kastamonu Kastamonu Airport(KFS),KFS
Türkiye,Kayseri Kayseri Airport(ASR),ASR
Türkiye,Konya Konya Airport(KYA),KYA
Türkiye,Kutahya Zafer Airport(KZR),KZR
Türkiye,Malatya Malatya Airport(MLX),MLX
Türkiye,Mardin Mardin Prof. Dr. Aziz Sancar Airport(MQM),MQM
Türkiye,Muğla-Bodrum Milas-Bodrum Airport(BJV),BJV
Türkiye,Muğla-Dalaman Dalaman Airport(DLM),DLM
Türkiye,Mus Mus Airport(MSR),MSR
Türkiye,Nevsehir Nevsehir Kapadokya Airport(NAV),NAV
Türkiye,Ordu-Giresun Ordu-Giresun Airport(OGU),OGU
Türkiye,Rize Rize Artvin Airport(RZV),RZV
Türkiye,Samsun Samsun Carsamba Airport(SZF),SZF
Türkiye,Sanliurfa Sanliurfa GAP Airport(GNY),GNY
Türkiye,Siirt Siirt Airport(SXZ),SXZ
Türkiye,Sinop Sinop Airport(NOP),NOP
Türkiye,Sirnak Sirnak Serafettin Elci Airport(NKT),NKT
Türkiye,Sivas Sivas Nuri Demirag Airport(VAS),VAS
Türkiye,Tokat Tokat Airport(TJK),TJK
Türkiye,Trabzon Trabzon Airport(TZX),TZX
Türkiye,Usak Usak Airport(USQ),USQ
Türkiye,Van Van Ferit Melen Airport(VAN),VAN
Türkiye,Zonguldak Zonguldak Airport(ONQ),ONQ
Turkmenistan,Ashgabat Ashgabat International Airport(ASB),ASB
Turkmenistan,Turkmenabat Turkmenabat International Airport(CRZ),CRZ
Turkmenistan,Turkmenbashi Turkmenbashi International Airport(KRW),KRW
Turks and Caicos Islands,Providenciales Providenciales International Airport(PLS),PLS
Uganda,Entebbe Entebbe International Airport(EBB),EBB
Ukraine,Kharkiv Kharkiv International Airport(HRK),HRK
Ukraine,Kherson Kherson Airport(KHE),KHE
Ukraine,Kyiv Kyiv (All) (2 Airports),KBP
Ukraine,Kyiv Kyiv Zhuliany International Airport(IEV),IEV
Ukraine,Kyiv Kyiv Borispol Airport(KBP),KBP
Ukraine,Lviv Lviv Danylo Halytskyi International Airport(LWO),LWO
Ukraine,Mykolaiv Mykolaiv International Airport(NLV),NLV
Ukraine,Odesa Odesa International Airport(ODS),ODS
Ukraine,Zaporizhzhia Zaporizhzhia International Airport(OZH),OZH
United Arab Emirates,Abu Dhabi Abu Dhabi International Airport(AUH),AUH
United Arab Emirates,Al Ain Al Ain International Airport(AAN),AAN
United Arab Emirates,Dubai Dubai International Airport(DXB),DXB
United Arab Emirates,Sharjah Sharjah Airport(SHJ),SHJ
United Kingdom,Aberdeen Aberdeen Dyce Airport(ABZ),ABZ
United Kingdom,Bath Knoxville Downtown Island Airport(QQX),QQX
United Kingdom,Belfast Belfast George Best City Airport(BHD),BHD
United Kingdom,Birmingham Birmingham Airport(BHX),BHX
United Kingdom,Bosham Bosham Railway Station(BOH),BOH
United Kingdom,Bridgwater Bridgwater Railway Station(UBW),UBW
United Kingdom,Brighton Brighton Railway Station(BSH),BSH
United Kingdom,Bristol Bristol Parkway Railway Station(BPR),BPR
United Kingdom,Bristol Bristol Temple Meads Railway Station(TPB),TPB
United Kingdom,Bristol Bristol Airport(BRS),BRS
United Kingdom,Calabasas Calblack Airport(CLB),CLB
United Kingdom,Cambridge Cambridge Railway Station(CBG),CBG
United Kingdom,Cardiff Cardiff Central Railway Station(CFW),CFW
United Kingdom,Cardiff Cardiff Airport(CWL),CWL
United Kingdom,Coventry Coventry Railway Station(CVT),CVT
United Kingdom,Durham Teesside International Airport(MME),MME
United Kingdom,Edinburgh Edinburgh Airport(EDI),EDI
United Kingdom,Emerald Emerald Airport(EMD),EMD
United Kingdom,Exeter Exeter Railway Station(EXS),EXS
United Kingdom,Falmouth Falmouth Railway Station(UFM),UFM
United Kingdom,Glasgow Glasgow International Airport(GLA),GLA
United Kingdom,Gloucester Gloucester Railway Station(GLO),GLO
United Kingdom,Hereford Hereford Railway Station(HFH),HFH
United Kingdom,High Wycombe Air Park/Booker Airport(HYC),HYC
United Kingdom,Inverness Inverness Airport(INV),INV
United Kingdom,Isle of Man Isle of Man Airport(IOM),IOM
United Kingdom,Jakar Bathpalathang Airport(BUT),BUT
United Kingdom,Jiuquan Jiuhuang Airport (CHW),CHW
United Kingdom,London London (All) (4 Airports),STN
United Kingdom,London Gatwick Airport(LGW),LGW
United Kingdom,London Heathrow Airport(LHR),LHR
United Kingdom,London London Stansted Airport(STN),STN
United Kingdom,Manchester Manchester Airport(MAN),MAN
United Kingdom,Milton Keynes Milton Keynes Central Railway Station(KYN),KYN
United Kingdom,Newcastle Newcastle International Airport(NCL),NCL
United Kingdom,Newport Newport Railway Station(XNE),XNE
United Kingdom,Orkney Islands Kirkwall Airport(KOI),KOI
United Kingdom,Oxford Oxford Railway Station(OXQ),OXQ
United Kingdom,Par Par Railway Station(PCW),PCW
United Kingdom,Penzance Penzance Railway Station(PZE),PZE
United Kingdom,Plymouth Plymouth Railway Station(PLH),PLH
United Kingdom,Polk Inlet POQ(POQ),POQ
United Kingdom,Rajasthan Renwal Railway Station(RNW),RNW
United Kingdom,Shetland Islands Sumburgh Airport(LSI),LSI
United Kingdom,Southampton Southampton Airport(SOU),SOU
United Kingdom,St. Austell St. Austell Railway Station(USX),USX
United Kingdom,Stornoway Stornoway Airport(SYY),SYY
United Kingdom,Swansea Swansea Railway Station(SWS),SWS
United Kingdom,Swindon Swindon Railway Station(XWS),XWS
United Kingdom,Taunton Taunton Railway Station(TTY),TTY
United Kingdom,Windsor Windsor-Eton Railway Station(WNC),WNC
United Kingdom,Worcester Worcester Railway Station(UWC),UWC
United States,Akron/Canton Akron Fulton International Airport(CAK),CAK
United States,Albany Albany International Airport(ALB),ALB
United States,Albuquerque International Sunport Airport(ABQ),ABQ
United States,Alexandria Alexandria International Airport(AEX),AEX
United States,Allentown Lehigh Valley International Airport(ABE),ABE
United States,Amarillo Rick Husband International Airport(AMA),AMA
United States,Anchorage Ted Stevens International Airport(ANC),ANC
United States,Appleton Outagamie County Regional Airport(ATW),ATW
United States,Arcata-Eureka Arcata Airport(ACV),ACV
United States,Asheville/Hendersonville Asheville Regional Airport(AVL),AVL
United States,Aspen Pitkin County Airport(ASE),ASE
United States,Atlanta Atlanta Hartsfield-Jackson Airport(ATL),ATL
United States,Austin Austin-Bergstrom International Airport(AUS),AUS
United States,Bakersfield Meadows Field Airport(BFL),BFL
United States,Bangor Bangor International Airport(BGR),BGR
United States,Baton Rouge Metropolitan-Ryan Field Airport(BTR),BTR
United States,Beaumont-Port Arthur Jack Brooks Regional Airport(BPT),BPT
United States,Bellingham Bellingham Airport(BLI),BLI
United States,Bethel Bethel Airport(BET),BET
United States,Billings Logan International Airport(BIL),BIL
United States,Binghamton Greater Binghamton Airport(BGM),BGM
United States,Birmingham Shuttlesworth International Airport(BHM),BHM
United States,Bismarck Bismarck Municipal Airport(BIS),BIS
United States,Boise Boise Air Terminal (Gowen Field)(BOI),BOI
United States,Boston Boston Logan International Airport(BOS),BOS
United States,Bozeman Yellowstone International Airport(BZN),BZN
United States,Brownsville South Padre Island International Airport(BRO),BRO
United States,Buffalo Buffalo Niagara International Airport(BUF),BUF
United States,Burbank Bob Hope Airport(BUR),BUR
United States,Burlington Burlington Airport(BTV),BTV
United States,Casper Natrona County International Airport(CPR),CPR
United States,Cedar Rapids The Eastern Iowa Airport(CID),CID
United States,Charleston Charleston Airport(CHS),CHS
United States,Charleston Yeager Airport(CRW),CRW
United States,Charlotte Charlotte Douglas International Airport(CLT),CLT
United States,Charlottesville Albemarle Airport(CHO),CHO
United States,Chattanooga Metropolitan Apt Airport(CHA),CHA
United States,Cheyenne Cheyenne Regional Airport(CYS),CYS
United States,Chicago O'Hare International Airport(ORD),ORD
United States,Chico Chico Municipal Airport(CIC),CIC
United States,Cincinnati Cincinnati Northern Kentucky International Airport(CVG),CVG
United States,Cleveland Cleveland Hopkins International Airport(CLE),CLE
United States,Cody Yellowstone Regional Airport(COD),COD
United States,College Station Easterwood Field(CLL),CLL
United States,Colorado Springs Colorado Springs Municipal Airport(COS),COS
United States,Columbia Columbia Metropolitan Airport(CAE),CAE
United States,Columbus Port Columbus International Airport(CMH),CMH
United States,Corpus Christi Corpus Christi International Airport(CRP),CRP
United States,Crescent City Del Norte County Regional Airport(CEC),CEC
United States,Dallas Dallas Fort Worth International Airport(DFW),DFW
United States,Dallas-Fort Worth Dallas-Fort Worth (All) (2 Airports),DAL
United States,Dallas-Fort Worth Love Field Airport(DAL),DAL
United States,Dayton Dayton International Airport(DAY),DAY
United States,Daytona Beach Daytona Beach International Airport(DAB),DAB
United States,Decatur Decatur Airport(DEC),DEC
United States,Del Rio Del Rio International Airport(DRT),DRT
United States,Denver Denver International Airport(DEN),DEN
United States,Des Moines Des Moines International Airport(DSM),DSM
United States,Destin/Fort Walton Beach Destin-Fort Walton Beach Airport(VPS),VPS
United States,Detroit Detroit Wayne County Airport(DTW),DTW
United States,Devils Lake Devils Lake Reg. Airport(DVL),DVL
United States,Dickinson T.Roosevelt Regional Airport(DIK),DIK
United States,Dillingham Dillingham Airport(DLG),DLG
United States,Dodge City Dodge City Reg. Airport(DDC),DDC
United States,Durango La Plata County Airport(DRO),DRO
United States,Eagle Eagle County Regional Airport(EGE),EGE
United States,Eau Claire Chippewa Valley Regional Airport(EAU),EAU
United States,El Paso El Paso International Airport(ELP),ELP
United States,Erie Erie International Airport(ERI),ERI
United States,Eugene Mahlon Sweet Field(EUG),EUG
United States,Evansville Evansville Regional Airport(EVV),EVV
United States,Fairbanks Fairbanks International Airport(FAI),FAI
United States,Fargo Hector International Airport(FAR),FAR
United States,Fayetteville/Springdale Northwest Arkansas Regional Airport(XNA),XNA
United States,Fayetteville Fayetteville Regional Airport (Grannis Field)(FAY),FAY
United States,Flint Bishop International Airport(FNT),FNT
United States,Fort Lauderdale Fort Lauderdale–Hollywood International Airport(FLL),FLL
United States,Fort Myers Fort Myers Airport(RSW),RSW
United States,Fort Wayne Fort Wayne International Airport(FWA),FWA
United States,Fresno Yosemite International Airport(FAT),FAT
United States,Gillette Campbell County Airport(GCC),GCC
United States,Grand Junction Grand Junction Regional Airport(GJT),GJT
United States,Grand Rapids Gerald R. Ford International Airport(GRR),GRR
